56081,m,0,4.445962,2.995393,32.713646,399.775055
56098,p,1,2.654468,10.339967,37.211018,69508
56118,p,2,2.673138,10.384527,37.125111,69528
56138,p,3,2.690473,10.427640,37.051193,69548
56158,p,4,2.704483,10.472029,37.038479,69568
56178,p,5,2.729618,10.522347,37.041565,69588
56198,p,6,2.764473,10.565910,36.988850,69608
56218,p,7,2.806052,10.609921,36.931427,69628
56238,p,8,2.847306,10.652999,36.854797,69648
56258,p,9,2.898701,10.699125,36.745663,69668
56281,p,10,2.968172,10.741023,36.695541,69688
56299,p,11,3.046489,10.785667,36.628742,69708
56318,p,12,3.143121,10.840899,36.537086,69728
56338,p,13,3.252159,10.894309,36.460632,69748
56358,p,14,3.381576,10.952211,36.417969,69768
56379,p,15,3.520059,11.019129,36.421318,69788
56399,p,16,3.663397,11.097509,36.435516,69808
56419,p,17,3.809431,11.179868,36.468372,69828
56439,p,18,3.966538,11.258802,36.498131,69848
56459,p,19,4.131262,11.338973,36.533031,69868
56479,p,20,4.295837,11.422091,36.497074,69888
56499,p,21,4.468439,11.505857,36.403057,69908
56519,p,22,4.659872,11.585782,36.309418,69928
56539,p,23,4.865225,11.660093,36.243519,69948
56559,p,24,5.065429,11.740350,36.191505,69968
56579,p,25,5.273422,11.835040,36.083485,69988
56600,p,26,5.489653,11.934127,35.970985,70008
56620,p,27,5.718610,12.032021,35.847084,70028
56640,p,28,5.956004,12.130232,35.721008,70048
56660,p,29,6.198143,12.230110,35.636639,70068
56681,p,30,6.435488,12.331455,35.584827,70088
56700,p,31,6.435488,12.331455,35.584827,70108
56720,p,32,6.719917,12.443066,35.476353,70128
56740,p,33,6.972607,12.536450,35.333725,70148
56764,p,34,7.223821,12.633358,35.224686,70168
56781,p,35,7.480167,12.731581,35.186123,70188
56801,p,36,7.751691,12.833934,35.097000,70208
56821,p,37,8.025970,12.941139,35.025448,70228
56841,p,38,8.301508,13.049929,35.002350,70248
56860,p,39,8.594003,13.156367,34.980652,70268
56881,p,40,8.915997,13.257453,34.929581,70288
56900,p,41,9.243534,13.350366,34.819374,70308
56920,p,42,9.577236,13.453036,34.788013,70328
56940,p,43,9.915664,13.557724,34.744621,70348
56961,p,44,10.251521,13.653370,34.674099,70368
56981,p,45,10.635531,13.749829,34.689941,70388
57001,p,46,11.018342,13.836243,34.716591,70408
57021,p,47,11.415514,13.923235,34.763432,70428
57041,p,48,11.827631,14.012246,34.897129,70448
57064,p,49,12.249216,14.097106,35.030415,70468
57081,p,50,12.665160,14.184515,35.150620,70488
57101,p,51,13.070800,14.268809,35.195770,70508
57121,p,52,13.455023,14.344646,35.221020,70528
57141,p,53,13.819397,14.417939,35.218575,70548
57164,p,54,14.186262,14.500078,35.139412,70568
57181,p,55,14.506176,14.568397,35.107555,70588
57202,p,56,14.791614,14.624733,35.094639,70608
57221,p,57,15.053927,14.678745,35.081013,70628
57242,p,58,15.313032,14.734718,35.083527,70648
57262,p,59,15.540421,14.777239,35.093285,70668
57281,p,60,15.765249,14.815223,35.103489,70688
57302,p,61,15.992871,14.854589,35.222214,70708
57322,p,62,16.221992,14.888141,35.369202,70728
57342,p,63,16.432131,14.907182,35.452221,70749
57362,p,64,16.632128,14.915230,35.466190,70769
57382,p,65,16.832317,14.928634,35.506088,70789
57402,p,66,17.025248,14.946283,35.641041,70809
57422,p,67,17.202745,14.962761,35.709301,70829
57442,p,68,17.353437,14.980028,35.738838,70849
57462,p,69,17.498802,15.005754,35.759418,70869
57482,p,70,17.639294,15.023082,35.776985,70889
57502,p,71,17.767551,15.014646,35.811550,70909
57522,p,72,17.874599,14.983270,35.860729,70929
57543,p,73,17.981634,14.934350,35.830528,70949
57563,p,74,18.084194,14.867707,35.824039,70969
57583,p,75,18.189045,14.757112,35.840652,70989
57603,p,76,18.292597,14.622723,35.775921,71009
57623,p,77,18.403898,14.465881,35.745602,71029
57643,p,78,18.517199,14.281149,35.743885,71049
57665,p,79,18.657618,14.091946,35.741787,71069
57683,p,80,18.847433,13.907266,35.743984,71089
57703,p,81,19.092754,13.718787,35.751652,71109
57724,p,82,19.384232,13.540067,35.705112,71129
57743,p,83,19.705677,13.372364,35.662086,71149
57763,p,84,20.085850,13.203656,35.644604,71169
57784,p,85,20.480721,13.046668,35.703941,71189
57804,p,86,20.907827,12.896098,35.769066,71209
57824,p,87,21.368382,12.754028,35.839615,71229
57844,p,88,21.868351,12.621367,35.969059,71249
57864,p,89,21.868351,12.621367,35.969059,71269
57884,p,90,22.458580,12.484820,36.120155,71289
57904,p,91,22.982691,12.386055,36.250793,71309
57924,p,92,23.538769,12.292853,36.382591,71329
57944,p,93,24.072474,12.211673,36.506283,71349
57964,p,94,24.613974,12.136756,36.621525,71369
57984,p,95,25.164799,12.068103,36.728832,71389
58004,p,96,25.716970,12.007630,36.888226,71409
58025,p,97,26.263889,11.960207,37.044968,71429
58045,p,98,26.810242,11.917342,37.184021,71449
58065,p,99,27.364960,11.876900,37.311848,71469
58085,p,100,27.979425,11.844001,37.432468,71489
58105,p,101,28.598537,11.825027,37.532871,71509
58125,p,102,29.245893,11.810946,37.683704,71529
58145,p,103,29.918543,11.800652,37.801334,71549
58165,p,104,30.613228,11.797336,37.860680,71569
58185,p,105,31.316515,11.802176,37.909092,71589
58205,p,106,32.020321,11.811557,37.979500,71610
58225,p,107,32.726997,11.827230,38.083168,71630
58245,p,108,33.442673,11.851182,38.235413,71650
58266,p,109,34.164104,11.885634,38.391693,71670
58286,p,110,34.884232,11.928061,38.544182,71690
